PAR ID,SUB,PRED,OBJ
163060-5,fernando_ramón_sallaberry_valls,place of birth,barcelona
163060-5,fernando_ramón_sallaberry_valls,place of birth,barcelona
163060-7,nefty,place of birth,new_york_city
163060-7,fernando_ramón_sallaberry_valls,place of birth,barcelona
163060-9,ramón_sallaberry_valls,place of birth,barcelona
163060-9,fernando_ramón_sallaberry_valls,place of birth,barcelona
163385-1,james_mundie,place of birth,cleveland
163385-3,james_mundie,place of birth,cleveland
163385-3,craig_james_mundie,place of birth,cleveland
163385-3,craig_james_mundie,place of birth,cleveland
163385-4,craig_james_mundie,place of birth,cleveland
163385-4,craig_james_mundie,place of birth,cleveland
163385-4,craig_james_mundie,place of birth,cleveland
163385-4,craig_james_mundie,place of birth,cleveland
163385-5,james_mundie,place of birth,cleveland
163385-6,james_mundie,place of birth,cleveland
163385-6,craig_james_mundie,place of birth,cleveland
163385-7,craig_james_mundie,place of birth,cleveland
167706-1,carla_howell,place of birth,massachusetts
167706-1,carla_howell,place of birth,massachusetts
184462-1,david_harold_bailey,place of birth,brigham
209673-3,naumovich_vapnik,place of birth,soviet_union
276160-12,william_allan_wulf,place of birth,virginia
299560-4,andrew,place of birth,shanghai
307517-3,albert_feigenbaum,place of birth,weehawken
394996-9,branko_crvenkovski,place of birth,macedonia
434212-3,robert,place of birth,turin
444286-5,wolfgang,place of birth,delmenhorst
478319-6,robert_sutherland,place of birth,hastings
492343-3,john_witbrock,place of birth,christchurch
507172-3,elliott_fahlman,place of birth,medina
516802-2,david_lebling,place of birth,washington
620257-3,peter_jay_weinberger,place of birth,awk
654139-3,kenneth_edward_batcher,place of birth,queens
683604-3,michael,place of birth,baton_rouge
734323-1,david_cope,place of birth,san_francisco
734323-1,david_cope,place of birth,san_francisco
734323-1,david_cope,place of birth,san_francisco
734323-1,david_cope,place of birth,san_francisco
734323-7,david_cope,place of birth,san_francisco
734323-7,david_cope,place of birth,san_francisco
734323-7,david_cope,place of birth,san_francisco
734323-7,david_cope,place of birth,san_francisco
734323-7,david_cope,place of birth,san_francisco
734323-7,david_cope,place of birth,san_francisco
734323-7,david_cope,place of birth,san_francisco
734323-9,david_cope,place of birth,san_francisco
734323-9,david_cope,place of birth,san_francisco
921332-3,enrico,place of birth,toronto
980748-3,shuman,place of birth,stuttgart
998591-1,denis_glaser,place of birth,new_york_city
998591-1,robert_denis_glaser,place of birth,new_york_city
998591-3,denis_glaser,place of birth,new_york_city
998591-4,robert_denis_glaser,place of birth,new_york_city
998591-5,denis_glaser,place of birth,new_york_city
998591-5,robert_denis_glaser,place of birth,new_york_city
998591-5,robert_denis_glaser,place of birth,new_york_city
998591-5,robert_denis_glaser,place of birth,new_york_city
998591-5,robert_denis_glaser,place of birth,new_york_city
998591-6,robert_denis_glaser,place of birth,new_york_city
998591-6,robert_denis_glaser,place of birth,new_york_city
1051825-3,bernard_chazelle,place of birth,clamart
1051825-3,bernard_chazelle,place of birth,paris
1053071-1,gary_chevsky,place of birth,odessa
1053071-3,gary_chevsky,place of birth,odessa
1053071-3,gary_chevsky,place of birth,odessa
1053071-3,gary_chevsky,place of birth,odessa
1053071-3,gary_chevsky,place of birth,odessa
1053071-3,gary_chevsky,place of birth,odessa
1053071-3,gary_chevsky,place of birth,odessa
